operator,Storage,Accumulation,Demotion
Conv2D,8.523219506453946e-05,5.311073782407523e-05,5.856615394198646e-05
LayerNorm,0.003067413293942809,0.00024387221224606037,0.0003869506686925888
BatchNorm,0.009246643447875976,0.015243724071979523,0.00856063733100891
ReLU,7.64270464835237e-06,,2.3282737749985573e-08
Softmax,0.006834690900146961,0.01256567131690681,0.0042191348880529405
AvgPooling,0.00028626698911184573,1.663658029428916e-07,0.0009394157648086548
MaxPooling,0.0003816816819209028,1.9127349102442772e-07,0.0009394157648086548
Linear,0.0005390111261745915,0.00026033031432307323,0.00023814179165638051
MatMul,0.0001990062888147804,0.00013317202237794846,0.00012218646492237896
GEMM,8.323122487936417e-05,0.0002588983043155167,3.678335654044531e-05
Attention,0.00017475787389931944,0.0007360079398421359,
