operator,Storage,Compute,Accumulation,Demotion
Conv2D,144.24229936831622,111.57708247956847,143.0356215394852,231.43297496068726
LayerNorm,2226.855340143702,374.9064338833067,,150.78085758656155
BatchNorm,124.77338594365216,216.3797564178813,,125.70954619801861
Softmax,139.63322912800388,205.96694302943172,104.10787613580597,104.60042254967338
AvgPooling,0.0,,0.05058913882030845,197.1330793838551
MaxPooling,0.0,,0.037584462122745105,146.4879547549072
Linear,162.06554735278596,214.5635147564505,136.4197914572894,149.07234055146867
MatMul,151.0115855438958,96.31706126207672,123.87410380046013,139.26470743211652
GEMM,887.7926512252478,106.12248212413937,1929.73439700818,390.5170652122355
Attention,122.57955351628306,584.3411634488014,,
